unique_round_id,ending_round,ending_time,fighter_name,round_number,knockdowns,submission_attempts,takedowns,takedowns_attempted,significant_strikes_head_landed,significant_strikes_head_attempted,significant_strikes_body_landed,significant_strikes_body_attempted,significant_strikes_leg_landed,significant_strikes_leg_attempted,fighter_control_time,opponent_control_time
7527,3,5:00,"Enrique Barzola",1,0,0,1,1,15,62,9,9,4,4,0:04,0:00
7529,3,5:00,"Enrique Barzola",2,0,0,1,4,20,76,5,9,3,3,0:17,0:10
7531,3,5:00,"Enrique Barzola",3,0,0,1,2,16,61,10,14,1,1,0:18,0:14
3685,3,5:00,"Gilbert Burns",1,0,0,1,2,7,17,4,5,4,5,3:07,0:00
3687,3,5:00,"Gilbert Burns",2,0,0,1,2,10,24,3,6,6,7,1:46,0:12
3689,3,5:00,"Gilbert Burns",3,0,0,1,3,5,13,1,4,2,2,2:05,0:16
12087,1,4:12,"Ciryl Gane",1,0,1,0,1,7,13,4,5,4,4,0:33,0:01
12226,3,5:00,"Marina Rodriguez",1,0,0,0,0,14,32,4,10,7,13,0:07,0:28
12228,3,5:00,"Marina Rodriguez",2,0,0,0,1,6,33,17,22,6,7,0:44,0:41
12230,3,5:00,"Marina Rodriguez",3,0,1,1,3,11,26,15,19,4,5,1:33,0:19
11965,1,2:56,"Rogerio Bontorin",1,0,0,2,5,6,13,0,0,2,2,1:19,0:00
11604,3,5:00,"Chris Gutierrez",1,0,0,0,0,4,15,1,2,9,12,0:06,0:44
11606,3,5:00,"Chris Gutierrez",2,0,0,0,0,5,6,2,2,7,9,1:33,1:12
11608,3,5:00,"Chris Gutierrez",3,0,0,1,2,9,25,3,3,8,12,1:17,0:12
7994,3,5:00,"Alex Da Silva",1,0,0,1,1,3,6,0,0,0,0,4:30,0:18
7996,3,5:00,"Alex Da Silva",2,0,0,1,1,8,15,1,2,0,0,4:15,0:00
7998,3,5:00,"Alex Da Silva",3,0,0,1,2,3,14,0,0,2,2,3:16,0:00
13311,1,1:09,"Veronica Macedo",1,0,1,0,0,0,0,1,1,0,0,0:04,0:43
NULL,1,4:47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1,30:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1,2:14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,3,10:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1,4:57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1,1:34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2147,5,5:00,"Tarec Saffiedine",1,0,0,0,0,5,18,2,2,9,13,0:00,0:17
2149,5,5:00,"Tarec Saffiedine",2,0,0,0,1,21,44,3,4,14,15,0:00,0:00
2151,5,5:00,"Tarec Saffiedine",3,1,0,1,1,10,13,2,2,9,10,2:39,0:02
2153,5,5:00,"Tarec Saffiedine",4,1,1,0,0,10,22,4,4,5,10,3:36,0:00
2155,5,5:00,"Tarec Saffiedine",5,1,0,0,1,14,30,2,2,10,13,0:04,0:00
5741,2,0:50,"Tatsuya Kawajiri",1,0,0,2,10,29,33,0,0,2,2,3:36,0:04
5743,2,0:50,"Tatsuya Kawajiri",2,0,1,1,2,1,1,0,0,0,0,0:32,0:03
5629,1,2:57,"Kiichi Kunimoto",1,0,0,0,3,9,19,0,0,3,4,0:57,0:00
10021,3,3:53,"Kyung Ho Kang",1,0,3,1,1,11,17,0,0,3,4,1:20,1:02
10023,3,3:53,"Kyung Ho Kang",2,0,0,0,0,17,30,0,0,2,3,3:41,0:39
10025,3,3:53,"Kyung Ho Kang",3,0,1,1,1,31,39,1,1,0,0,3:14,0:08
3899,2,2:27,"Max Holloway",1,1,0,0,0,30,71,7,10,0,0,0:01,0:16
3901,2,2:27,"Max Holloway",2,1,0,0,0,28,48,7,8,2,2,0:15,0:45
2473,3,5:00,"Katsunori Kikuno",1,0,0,0,0,3,13,2,2,2,3,1:40,0:00
2475,3,5:00,"Katsunori Kikuno",2,0,0,1,1,7,13,1,1,0,0,3:07,0:00
2477,3,5:00,"Katsunori Kikuno",3,0,0,2,3,6,12,2,4,0,0,3:34,0:01
12107,3,5:00,"Royston Wee",1,0,0,2,2,6,7,0,0,0,0,4:48,0:05
12109,3,5:00,"Royston Wee",2,0,0,2,2,1,2,0,0,1,1,4:50,0:00
12111,3,5:00,"Royston Wee",3,0,0,2,3,0,2,0,0,0,0,4:17,0:00
4105,3,5:00,"Mairbek Taisumov",1,0,0,0,1,5,28,2,7,6,8,0:02,0:00
4107,3,5:00,"Mairbek Taisumov",2,0,0,1,2,2,19,6,9,1,1,0:10,0:00
4109,3,5:00,"Mairbek Taisumov",3,0,0,4,4,3,5,2,3,6,7,3:37,0:08
9005,1,2:13,"Dustin Kimura",1,0,1,0,1,1,8,0,0,0,1,0:00,1:34
6484,2,4:59,"Russell Doane",1,0,0,0,0,11,29,0,0,1,1,2:35,1:08
6486,2,4:59,"Russell Doane",2,0,1,0,0,27,52,3,3,1,1,1:39,0:22
9040,2,1:54,"Deiveson Figueiredo",1,0,1,1,1,10,22,5,6,0,0,0:25,0:10
9042,2,1:54,"Deiveson Figueiredo",2,1,0,0,0,8,17,2,4,0,0,0:02,0:00
13523,1,3:37,"Felicia Spencer",1,0,0,1,2,38,61,1,1,1,2,2:21,0:00
9716,1,0:38,"Magomed Ankalaev",1,0,0,0,0,6,10,1,1,1,1,0:00,0:00
13519,1,3:31,"Megan Anderson",1,1,0,0,1,6,12,1,2,0,0,0:14,2:19
11649,2,1:38,"Grant Dawson",1,0,1,1,1,13,18,1,1,0,0,4:00,0:26
11651,2,1:38,"Grant Dawson",2,0,1,1,2,1,3,0,0,0,0,1:15,0:00
11928,3,5:00,"Kyler Phillips",1,0,0,0,2,35,80,8,14,8,8,0:02,0:49
