unique_round_id,ending_round,ending_time,fighter_name,round_number,knockdowns,submission_attempts,takedowns,takedowns_attempted,significant_strikes_head_landed,significant_strikes_head_attempted,significant_strikes_body_landed,significant_strikes_body_attempted,significant_strikes_leg_landed,significant_strikes_leg_attempted,fighter_control_time,opponent_control_time
2150,5,5:00,"Hyun Gyu Lim",2,0,0,0,0,18,75,2,3,1,1,0:00,0:00
2152,5,5:00,"Hyun Gyu Lim",3,0,1,0,0,5,11,2,4,1,1,0:02,2:39
2154,5,5:00,"Hyun Gyu Lim",4,0,0,0,0,9,36,3,6,0,0,0:00,3:36
2156,5,5:00,"Hyun Gyu Lim",5,0,0,0,0,39,82,12,13,0,0,0:00,0:04
5742,2,0:50,"Sean Soriano",1,0,0,0,0,13,20,1,1,2,2,0:04,3:36
5744,2,0:50,"Sean Soriano",2,0,0,0,0,1,1,2,2,0,0,0:03,0:32
5630,1,2:57,"Luiz Dutra",1,0,0,0,0,5,13,4,4,1,1,0:00,0:57
10022,3,3:53,"Shunichi Shimizu",1,0,0,0,3,0,1,0,0,1,2,1:02,1:20
10024,3,3:53,"Shunichi Shimizu",2,0,0,0,2,0,0,0,1,1,1,0:39,3:41
10026,3,3:53,"Shunichi Shimizu",3,0,0,0,1,0,0,0,1,0,0,0:08,3:14
3900,2,2:27,"Will Chope",1,0,0,0,2,18,90,2,5,6,7,0:16,0:01
3902,2,2:27,"Will Chope",2,0,0,0,3,5,14,0,2,2,3,0:45,0:15
2474,3,5:00,"Quinn Mulhern",1,0,0,0,4,9,27,1,5,1,3,0:00,1:40
2476,3,5:00,"Quinn Mulhern",2,0,0,0,3,1,9,1,5,1,3,0:00,3:07
2478,3,5:00,"Quinn Mulhern",3,0,0,0,2,1,9,1,2,0,0,0:01,3:34
12108,3,5:00,"Dave Galera",1,0,0,0,0,8,8,2,2,0,0,0:05,4:48
12110,3,5:00,"Dave Galera",2,0,0,0,0,1,2,3,4,1,1,0:00,4:50
12112,3,5:00,"Dave Galera",3,0,2,0,0,6,13,1,3,3,3,0:00,4:17
4106,3,5:00,"Tae Hyun Bang",1,0,0,0,0,8,26,4,4,1,1,0:00,0:02
4108,3,5:00,"Tae Hyun Bang",2,0,0,0,0,6,19,0,2,2,3,0:00,0:10
4110,3,5:00,"Tae Hyun Bang",3,0,0,0,1,5,11,0,0,0,0,0:08,3:37
9006,1,2:13,"Jon Delos Reyes",1,1,0,1,1,9,28,0,0,0,1,1:34,0:00
6483,2,4:59,"Leandro Issa",1,0,1,2,2,4,17,0,0,1,2,1:08,2:35
6485,2,4:59,"Leandro Issa",2,0,0,0,8,8,28,1,4,3,3,0:22,1:39
9039,2,1:54,"Joseph Benavidez",1,0,0,0,2,21,45,5,7,5,8,0:10,0:25
9041,2,1:54,"Joseph Benavidez",2,0,0,0,0,7,18,3,6,5,10,0:00,0:02
13524,1,3:37,"Zarah Fairn",1,0,0,0,0,12,27,1,1,0,0,0:00,2:21
9715,1,0:38,"Ion Cutelaba",1,0,0,0,0,3,8,0,1,2,2,0:00,0:00
13520,1,3:31,"Norma Dumont",1,0,0,1,3,1,9,4,5,0,2,2:19,0:14
