unique_round_id,unique_fight_id,unique_event_id,round_number,fighter_name,knockdowns,total_strikes_landed,total_strikes_attempted,takedowns,takedowns_attempted,submission_attempts,control_time,reversals,guard_passes,significant_strikes_head_landed,significant_strikes_head_attempted,significant_strikes_body_landed,significant_strikes_body_attempted,significant_strikes_leg_landed,significant_strikes_leg_attempted,significant_strikes_standing_landed,significant_strikes_standing_attempted,significant_strikes_clinch_landed,significant_strikes_clinch_attempted,significant_strikes_ground_landed,significant_strikes_ground_attempted
31108,7041,734,2,"TJ Cook ",0,6,13,0,0,0,1:55,0,0,2,7,0,1,2,3,4,11,0,0,0,0
31109,7041,734,3,"Ovince Saint Preux",1,1,3,0,0,0,0:00,0,0,1,3,0,0,0,0,1,3,0,0,0,0
31110,7041,734,3,"TJ Cook ",0,0,0,0,0,0,0:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31111,7036,733,1,"Vitor Belfort",0,19,30,1,1,0,--,0,3,0,8,3,4,6,6,6,14,0,0,3,4
31112,7036,733,1,"James Zikic ",0,6,25,0,0,0,--,0,0,1,19,0,0,3,4,4,23,0,0,0,0
31113,7036,733,2,"Vitor Belfort",0,25,27,1,2,0,--,0,3,0,0,1,2,0,0,0,1,1,1,0,0
31114,7036,733,2,"James Zikic ",0,17,30,1,2,0,--,0,0,1,11,1,1,2,2,2,10,2,2,0,2
31115,7036,733,3,"Vitor Belfort",0,38,46,1,2,0,--,0,6,6,11,0,0,2,2,2,4,1,1,5,8
31116,7036,733,3,"James Zikic ",0,15,30,0,1,0,--,0,0,2,16,2,3,3,3,4,16,3,6,0,0
31117,7035,732,1,"Vitor Belfort",0,38,44,1,1,0,--,0,2,13,18,3,3,1,1,3,6,2,3,12,13
31118,7035,732,1,"Ivan Serati ",0,7,13,0,0,0,--,0,0,2,7,0,1,0,0,1,4,1,4,0,0
31119,6646,674,1,"Mauricio Rua",0,12,29,1,5,1,--,0,0,6,22,2,2,1,2,3,19,1,1,5,6
31120,6646,674,1,"Alistair Overeem",0,11,28,1,1,0,--,0,1,3,20,5,5,1,1,3,15,4,7,2,4
31121,7034,731,1,"Sergei Kharitonov ",1,24,61,0,3,0,--,0,0,17,54,5,5,2,2,16,50,8,11,0,0
31122,7034,731,1,"Alistair Overeem",0,27,51,0,0,0,--,0,0,11,29,2,7,13,14,17,34,9,16,0,0
31123,7026,730,1,"Jake O'Brien ",0,16,37,1,1,0,2:43,1,5,4,24,0,0,0,0,1,15,0,0,3,9
31124,7026,730,1,"Heath Herring",1,7,26,0,0,0,0:05,0,0,3,22,0,0,0,0,2,21,0,0,1,1
31125,7026,730,2,"Jake O'Brien ",0,22,30,2,2,0,3:16,1,6,8,15,0,0,0,0,1,5,0,0,7,10
31126,7026,730,2,"Heath Herring",0,5,27,1,1,0,0:04,0,0,0,21,1,1,0,0,1,22,0,0,0,0
31127,7026,730,3,"Jake O'Brien ",0,8,9,3,5,1,3:59,0,6,0,1,1,1,0,0,0,0,0,0,1,2
31128,7026,730,3,"Heath Herring",0,20,30,0,0,1,0:32,0,0,6,16,1,1,0,0,1,6,0,3,6,8
31129,6717,686,1,"Junior Dos Santos",1,17,37,0,0,0,0:07,0,0,9,24,4,7,1,2,10,25,0,1,4,7
31130,6717,686,1,"Gilbert Yvel ",0,3,18,0,0,0,0:00,0,0,3,15,0,2,0,1,3,17,0,1,0,0
31131,6817,696,1,"Pedro Rizzo ",2,49,63,0,0,0,--,0,0,12,22,0,0,12,13,17,22,4,7,3,6
31132,6817,696,1,"David Abbott ",0,31,69,1,2,0,--,0,0,16,48,0,0,0,0,7,25,4,14,5,9
31133,6947,715,1,"Tim Sylvia ",1,32,70,0,0,0,0:01,0,0,22,59,2,2,7,8,28,65,3,4,0,0
31134,6947,715,1,"Tra Telligman ",0,13,40,0,0,0,0:00,0,0,9,36,1,1,3,3,13,40,0,0,0,0
31135,6980,718,1,"Fabricio Werdum",0,12,21,1,1,1,0:28,0,1,0,5,1,2,3,3,4,9,0,1,0,0
31136,6980,718,1,"Mike Kyle",0,3,12,0,0,1,0:16,0,0,2,11,0,0,1,1,3,11,0,1,0,0
31137,6474,647,1,"Gegard Mousasi",1,35,59,0,0,0,--,0,0,28,51,1,2,0,0,10,26,6,10,13,17
31138,6474,647,1,"Hiroshi Izumi ",0,1,16,0,2,0,--,0,0,1,12,0,0,0,4,1,16,0,0,0,0
